 # X(m)   T(K)   T(C)
   8.8050000000000097E-004   314.56276177788430        41.412761777884327     
   8.9300000000000100E-004   314.56321755323626        41.413217553236279     
   9.0585714285714390E-004   314.56346708530003        41.413467085300056     
   9.1871428571428681E-004   314.56349789427821        41.413497894278237     
   9.3157142857142972E-004   314.56352861332988        41.413528613329902     
   9.4442857142857262E-004   314.56355924245503        41.413559242455051     
   9.5728571428571553E-004   314.56358978165360        41.413589781653627     
   9.7014285714285844E-004   314.56362023092566        41.413620230925687     
   9.8300000000000123E-004   314.56365059027127        41.413650590271288     
   9.9800000000000127E-004   314.56366846482968        41.413668464829698     
   9.9900000000000119E-004   314.56366849438604        41.413668494386059     
   1.0090000000000012E-003   314.56366889022280        41.413668890222823     
   1.0190000000000012E-003   314.56366938615133        41.413669386151355     
   1.0315000000000012E-003   314.56371616073795        41.413716160737977     
   1.0440000000000011E-003   314.56380882139302        41.413808821393047     
   1.0565000000000010E-003   314.56390121306072        41.413901213060740     
   1.0690000000000009E-003   314.56399333574103        41.413993335741054     
   1.0815000000000009E-003   314.56408518943397        41.414085189433990     
   1.0940000000000008E-003   314.56417677413964        41.414176774139662     
   1.1065000000000007E-003   314.56426808985793        41.414268089857956     
   1.1190000000000006E-003   314.56435913658891        41.414359136588928     
   1.1315000000000006E-003   314.56462184187723        41.414621841877249     
   1.1440000000000005E-003   314.56505586864955        41.415055868649574     
   1.1568571428571433E-003   314.56529347752058        41.415293477520606     
   1.1697142857142861E-003   314.56532281008089        41.415322810080909     
   1.1825714285714289E-003   314.56535205271467        41.415352052714695     
   1.1954285714285717E-003   314.56538120542194        41.415381205421966     
   1.2082857142857145E-003   314.56541026820275        41.415410268202777     
   1.2211428571428573E-003   314.56543924105699        41.415439241057015     
   1.2340000000000001E-003   314.56546812398472        41.415468123984738     
   1.2490000000000001E-003   314.56548512647970        41.415485126479723     
   1.2500000000000000E-003   314.56548515459338        41.415485154593398     
   1.2600000000000001E-003   314.56548553110377        41.415485531103798     
